# ----------------------------------------
# canadanewyork
# URL's To Check
# 20130303-20130402
# ----------------------------------------

Landing Page,Visits
/exhibitions/2005/airbrains-and-juiceboxxx-live-performance-friday-march-11th-2005-books_rave_folk,1
/exhibitions/2005/brian-belott-books-books-books-books-books-books-and-books-march-11-april-10,1
/exhibitions/2005/michael-mahalchick-unnatural-desires-october-20-december-4,1
/exhibitions/2005/new-yorks-finest-january-29-march-5,1
/exhibitions/2006/joe-bradley-kurgan-waves-january-27-march-4-2006,1
/exhibitions/2006/rosson-crow-hotel-and-lounge-november-11th-december-2006,1
/exhibitions/2007/carrie-moyer-the-stone-age-january-7-february-11,1
/exhibitions/2007/michael-williams-cancuned-and-other-paintings-from-2007-october-11-nov-18-2007,1
/exhibitions/2007/new-mutants-curated-by-dan-nadel-june-22-july-22-2007,1
/exhibitions/2008/katherine-bernhardt-kate-giselle-natalia-agyness-simon-kanye-george-april-24-june-1-2008,1
/exhibitions/2008/lily-ludlow-and-allen-cordell-sowing-circle-december-12-january-18-2009,1
/exhibitions/2009/carrie-moyer-arcana-may-7-june-7-2009,1
/exhibitions/2009/michael-williams-uncle-big,1
/exhibitions/2010/matt-connors-you-dont-know-october-22-november-21,1
/exhibitions/2010/the-armory-show-nyc-march-4-7-featuring-xylor-jane,1
/exhibitions/2010/www-newyorkgalleryweek-com,1
/exhibitions/2011/michael-williams-straightforward-as-a-noodle?sukey=95cfb7635c8b546b6bbdb5c2b2107b12e55f1dab0379b928eed7a18d6e90639e98308495574a51e4155b5fd1083f8e2918f27f3177d54dca,1
/exhibitions/2011/michael-williams-straightforward-as-a-noodle?sukey=95cfb7635c8b546bbc2ec269edf8c64b6835d1e2782237914bc00efcfee1768ebb634024653b6f241d722c6d0da9c62a450ad1371b906b89,1
/exhibitions/2011/michael-williams-straightforward-as-a-noodle?sukey=b50423ad109ac255f9fea8d696bb40b69543f2842fbb286a4383c60ba8523ed97014b501dd9a85fee81dd246b98a641ebcc4311aa0faf28f,1
/index.php?q=aHR0cDovL3d3dy5jYW5hZGFuZXd5b3JrLmNvbS8=,1
/press/2003/new-york-times-devendra-banhart-lily-ludlow-elena-pankova,1
/press/2003/the-new-york-timessarah-braman-and-brian-belott,1
/press/2004/artforum-gedi-sibony-thequalities-depend-on-other-qualities,1
/press/2004/the-new-york-times-michael-mahalchick-performances,1
/press/2005/artforum-unnatural-desires-artorum-2,1
/press/2005/flavorpill-unnatural-desires-flavorpill,1
/press/2005/the-los-angeles-times-exploring-the-dawn-of-digital-expression,1
/press/2008/artforum-david-askevold-by-tony-oursler,1
/press/2008/artforum-joe-bradley,1
/press/2008/the-new-york-times-the-lower-east-side-joe-bradley,1
/press/2009/bomb-magazine-carrie-moyer,1
/press/2011/artforum-matt-connors-2,1
/press/2012-2/the-daily-beast-gerald-ferguson,1
/press/2092/michael-williams-art-forum-january-2010,1
/search?q=cache:Jwe7GxgOO3gJ:www.canadanewyork.com/artists/carrie-moyer/resume-2+&cd=30&hl=en&ct=clnk&gl=gh,1
/sitewide/viewer.php?group=/artbin/cass,1
/translate_c?depth=1&ei=KZNaUbbZDsSI7AbkjYHIBw&hl=pl&prev=/search?q=Michael+Mahalchick&start=50&hl=pl&client=firefox-beta&hs=aQI&sa=N&rls=org.mozilla:pl:official&biw=1366&bih=664&rurl=translate.google.pl&sl=en&u=http://www.canadanewyork.com/archives/3138&usg=ALkJrhjECxo17687SHL_hVwky0qwgdTt2w,1
/translate_c?depth=1&ei=O1JDUZSMA4GZtAbH9oBA&hl=it&prev=/search?q=new+york+art+gallery&hl=it&newwindow=1&sa=X&rlz=1G1GGLQ_ITIT300&biw=1239&bih=581&rurl=translate.google.com&sl=en&u=http://www.canadanewyork.com/&usg=ALkJrhjZK44iUIoqNbbRUUUp_yQVGj-ScQ,1
/translate_c?depth=1&ei=PBNPUcuVCIe68AS76YCgAg&prev=/search?q=www.canada-ny.org&hl=es-419&biw=1360&bih=630&rurl=translate.google.com.co&sl=en&u=http://www.canadanewyork.com/&usg=ALkJrhipzn9MyIH7rf7aBXfv5hdPYqknIQ,1
/translate_c?depth=1&ei=PY1HUZSAEI-N7AbtuoHoCA&hl=gl&prev=/search?q=sara+braman&hl=gl&biw=1024&bih=640&rurl=translate.google.es&sl=en&u=http://www.canadanewyork.com/artists/sarah-braman&usg=ALkJrhiC--SCpAYwMCQL_zVdidONRc0pxg,1
/translate_c?depth=1&ei=vJ9IUYHAJauEiwLBuYD4DQ&hl=fa&prev=/search?q=new+york+art+gallery&hl=fa&sa=X&biw=1366&bih=630&rurl=translate.google.com&sl=en&u=http://www.canadanewyork.com/&usg=ALkJrhjCL8Ovk-yWGdiAlYVbtTVNJQMm_g,1
/updates?preview=true&preview_id=3082&preview_nonce=088a5373e6,1
/wp/files/artists/michael-williams/MW2009-016Wa.jpg,1
,"4,459"

